ID,NOME,IDADE,NOTA_GERAL,TP_SEXO,DATA_INSCRICAO,LINGUA,RENDA_BRUTA,SITUACAO
380,Estudante 380,22,488.0,F,12/05/23,Espanhol,1599.0,OK
381,Estudante 381,47,770.0,F,10/05/23,Espanhol,R$ 2666,OK
382,Estudante 382,34,910.0,F,2023-05-26,espanhol,"1364,00",OK
383,Estudante 383,59,596.0,F,17/05/23,ingles,5811.0,OK
384,Estudante 384,18,832.0,M,12/05/23,ingles,1351.0,OK
385,Estudante 385,19,502.0,M,2023-05-10,ESP,R$ 1748,OK
386,Estudante 386,57,805.0,F,24/05/23,Ingles,"7740,00",OK
387,Estudante 387,40,313.0,F,24/05/23,ING,2293.0,OK
388,Estudante 388,26,809.0,F,2023-05-21,espanhol,3308.0,OK
389,Estudante 389,16,858.0,F,14/05/23,Inglês,R$ 7605,OK
390,Estudante 390,16,418.0,M,25/05/23,ESP,"1668,00",OK
391,Estudante 391,25,842.0,M,2023-05-21,ESP,1621.0,OK
392,Estudante 392,30,785.0,M,27/05/23,Espanhol,5715.0,OK
393,Estudante 393,25,470.0,M,14/05/23,Inglês,R$ 2866,OK
394,Estudante 394,16,752.0,F,2023-05-17,Inglês,"6616,00",OK
395,Estudante 395,59,803.0,M,11/05/23,ingles,5758.0,OK
396,Estudante 396,30,,F,21/05/23,ingles,1735.0,OK
397,Estudante 397,29,870.0,F,2023-05-19,ingles,R$ 7535,OK
398,Estudante 398,31,696.0,M,21/05/23,Espanhol,"2113,00",OK
399,Estudante 399,38,398.0,M,24/05/23,ING,4314.0,OK
400,Estudante 400,24,453.0,F,2023-05-18,espanhol,5807.0,OK
401,Estudante 401,250,569.0,M,17/05/23,ESP,R$ 4320,OK
402,Estudante 402,54,549.0,F,19/05/23,ESP,"6793,00",OK
403,Estudante 403,42,668.0,F,2023-05-22,Inglês,3161.0,OK
404,Estudante 404,31,747.0,M,13/05/23,ESP,6568.0,OK
405,Estudante 405,57,381.0,F,15/05/23,Espanhol,R$ 3104,OK
406,Estudante 406,16,442.0,F,2023-05-16,ESP,"4366,00",OK
407,Estudante 407,41,893.0,F,10/05/23,Inglês,7872.0,OK
408,Estudante 408,53,949.0,F,25/05/23,ingles,4657.0,OK
409,Estudante 409,48,756.0,F,2023-05-17,Espanhol,R$ 3449,OK
410,Estudante 410,42,430.0,M,25/05/23,ESP,"1202,00",OK
411,Estudante 411,50,905.0,F,25/05/23,espanhol,1419.0,OK
412,Estudante 412,59,915.0,M,2023-05-17,ING,5270.0,OK
413,Estudante 413,23,701.0,F,25/05/23,ingles,R$ 4981,OK
414,Estudante 414,33,647.0,F,26/05/23,ING,"5722,00",OK
415,Estudante 415,25,611.0,M,2023-05-14,Inglês,4747.0,OK
416,Estudante 416,19,587.0,F,19/05/23,espanhol,1968.0,OK
417,Estudante 417,57,682.0,M,13/05/23,ING,R$ 7327,OK
418,Estudante 418,15,792.0,M,2023-05-12,espanhol,"1261,00",OK
419,Estudante 419,18,373.0,F,23/05/23,Espanhol,2561.0,OK
420,Estudante 420,46,841.0,M,10/05/23,Ingles,2690.0,OK
421,Estudante 421,22,788.0,F,2023-05-10,ingles,R$ 2807,OK
422,Estudante 422,52,758.0,F,27/05/23,espanhol,"2954,00",OK
423,Estudante 423,44,499.0,F,26/05/23,Inglês,5372.0,OK
424,Estudante 424,48,577.0,M,2023-05-18,espanhol,5943.0,OK
425,Estudante 425,15,348.0,F,12/05/23,Espanhol,R$ 2377,OK
426,Estudante 426,17,,M,23/05/23,Inglês,"2287,00",OK
427,Estudante 427,29,585.0,F,2023-05-25,ingles,1548.0,OK
428,Estudante 428,53,807.0,M,10/05/23,Ingles,3429.0,OK
429,Estudante 429,52,586.0,F,27/05/23,ESP,R$ 7685,OK
430,Estudante 430,41,884.0,F,2023-05-25,Ingles,"6159,00",OK
431,Estudante 431,50,768.0,M,11/05/23,ESP,4937.0,OK
432,Estudante 432,17,773.0,M,27/05/23,Ingles,6323.0,OK
433,Estudante 433,54,586.0,M,2023-05-13,Inglês,R$ 1352,OK
434,Estudante 434,25,830.0,M,16/05/23,espanhol,"1430,00",OK
435,Estudante 435,28,884.0,M,24/05/23,espanhol,5269.0,OK
436,Estudante 436,27,326.0,M,2023-05-17,ING,4819.0,OK
437,Estudante 437,35,377.0,F,25/05/23,espanhol,R$ 3412,OK
438,Estudante 438,54,704.0,F,18/05/23,espanhol,"1568,00",OK
439,Estudante 439,52,821.0,F,2023-05-10,espanhol,3983.0,OK
440,Estudante 440,32,936.0,F,17/05/23,espanhol,5975.0,OK
441,Estudante 441,-5,904.0,M,14/05/23,Inglês,R$ 7337,OK
442,Estudante 442,26,657.0,M,2023-05-16,espanhol,"6825,00",OK
443,Estudante 443,50,730.0,F,15/05/23,espanhol,3620.0,OK
444,Estudante 444,45,655.0,M,17/05/23,ESP,2821.0,OK
445,Estudante 445,30,322.0,M,2023-05-21,Ingles,R$ 3070,OK
446,Estudante 446,58,312.0,M,14/05/23,Ingles,"1338,00",OK
447,Estudante 447,23,690.0,F,15/05/23,ESP,2625.0,OK
448,Estudante 448,48,370.0,F,2023-05-22,ING,6603.0,OK
449,Estudante 449,31,447.0,M,12/05/23,Inglês,R$ 7965,OK
450,Estudante 450,18,524.0,F,19/05/23,Ingles,"6144,00",OK
451,Estudante 451,36,537.0,F,2023-05-23,Ingles,4223.0,OK
452,Estudante 452,33,628.0,F,12/05/23,ESP,2973.0,OK
453,Estudante 453,36,747.0,F,20/05/23,Inglês,R$ 6927,OK
454,Estudante 454,19,330.0,M,2023-05-12,espanhol,"5856,00",OK
455,Estudante 455,53,422.0,M,27/05/23,ING,1552.0,OK
456,Estudante 456,35,,M,18/05/23,ING,4637.0,OK
457,Estudante 457,31,781.0,M,2023-05-21,ING,R$ 1025,OK
458,Estudante 458,34,652.0,M,23/05/23,Inglês,"1699,00",OK
459,Estudante 459,58,801.0,M,26/05/23,ESP,2856.0,OK
460,Estudante 460,53,690.0,M,2023-05-24,Espanhol,5293.0,OK
461,Estudante 461,38,920.0,F,27/05/23,ESP,R$ 5627,OK
462,Estudante 462,33,531.0,F,17/05/23,Inglês,"7579,00",OK
463,Estudante 463,39,809.0,M,2023-05-26,Ingles,2359.0,OK
464,Estudante 464,56,857.0,F,26/05/23,ingles,4600.0,OK
465,Estudante 465,26,713.0,F,18/05/23,espanhol,R$ 7588,OK
466,Estudante 466,31,390.0,F,2023-05-23,Ingles,"2099,00",OK
467,Estudante 467,56,809.0,M,23/05/23,Inglês,3996.0,OK
468,Estudante 468,46,339.0,F,22/05/23,Inglês,7708.0,OK
469,Estudante 469,32,858.0,M,2023-05-22,ING,R$ 1524,OK
470,Estudante 470,54,513.0,M,25/05/23,Espanhol,"5953,00",OK
471,Estudante 471,56,452.0,M,27/05/23,ingles,2515.0,OK
472,Estudante 472,49,441.0,M,2023-05-20,ESP,1846.0,OK
473,Estudante 473,59,892.0,M,25/05/23,Ingles,R$ 6209,OK
474,Estudante 474,27,430.0,F,23/05/23,Ingles,"6077,00",OK
475,Estudante 475,29,827.0,M,2023-05-20,Inglês,3281.0,OK
476,Estudante 476,31,809.0,M,22/05/23,espanhol,3222.0,OK
477,Estudante 477,41,685.0,F,25/05/23,ESP,R$ 7854,OK
478,Estudante 478,34,885.0,M,2023-05-25,Inglês,"6658,00",OK
479,Estudante 479,58,838.0,F,22/05/23,ingles,3765.0,OK
480,Estudante 480,25,764.0,F,23/05/23,espanhol,6967.0,OK
481,Estudante 481,250,516.0,M,2023-05-16,Ingles,R$ 4618,OK
482,Estudante 482,18,547.0,M,24/05/23,Inglês,"5270,00",OK
483,Estudante 483,52,397.0,M,25/05/23,espanhol,5483.0,OK
484,Estudante 484,59,623.0,M,2023-05-18,ESP,4453.0,OK
485,Estudante 485,56,371.0,M,21/05/23,ingles,R$ 4923,OK
486,Estudante 486,16,,M,26/05/23,Ingles,"3538,00",OK
487,Estudante 487,35,774.0,M,2023-05-15,Inglês,7255.0,OK
488,Estudante 488,37,309.0,F,12/05/23,espanhol,2267.0,OK
489,Estudante 489,51,543.0,F,23/05/23,ingles,R$ 6505,OK
490,Estudante 490,23,901.0,M,2023-05-13,Ingles,"2229,00",OK
491,Estudante 491,52,643.0,M,13/05/23,espanhol,1753.0,OK
492,Estudante 492,56,375.0,F,18/05/23,ING,1913.0,OK
493,Estudante 493,27,352.0,M,2023-05-17,Espanhol,R$ 6192,OK
494,Estudante 494,41,705.0,M,19/05/23,espanhol,"6689,00",OK
495,Estudante 495,38,774.0,F,17/05/23,ESP,2494.0,OK
496,Estudante 496,40,533.0,M,2023-05-27,ESP,5191.0,OK
497,Estudante 497,31,379.0,F,22/05/23,ING,R$ 1557,OK
498,Estudante 498,45,492.0,M,16/05/23,Ingles,"5015,00",OK
499,Estudante 499,25,823.0,M,2023-05-15,espanhol,2989.0,OK
500,Estudante 500,26,442.0,M,22/05/23,espanhol,6068.0,OK
1,Estudante 1,250,514.0,M,2023-05-17,espanhol,R$ 2607,OK
2,Estudante 2,23,595.0,M,19/05/23,ESP,"6535,00",OK
3,Estudante 3,45,610.0,F,11/05/23,ingles,4848.0,OK
4,Estudante 4,49,756.0,M,2023-05-14,Espanhol,1987.0,OK
5,Estudante 5,58,753.0,M,19/05/23,ING,R$ 7440,OK
6,Estudante 6,37,,M,25/05/23,ingles,"3740,00",OK
7,Estudante 7,22,373.0,F,2023-05-25,ingles,7458.0,OK
8,Estudante 8,41,920.0,M,16/05/23,Ingles,5636.0,OK
9,Estudante 9,45,459.0,M,27/05/23,Ingles,R$ 4634,OK
10,Estudante 10,27,591.0,M,2023-05-21,Inglês,"6420,00",OK
